"Species","Tissue Class","Tissue Type","Cancer","Cell name","Cell marker","Source","Supports","Detail"
"Human","Lymph node","Lymphoid tissue","Cancer cell","CD4+ T cell","OX40","Experiment","1","DETAIL"
"Human","Lymph node","Lymphoid tissue","Cancer cell","CD8+ T cell","OX40","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","B cell","PAX5","Experiment","2","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","B cell","PAX5","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","PCBP1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Follicular helper (Tfh) T cell","PD-1","Experiment","2","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Stem-like CD8 T cell","PD-1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","T follicular helper(Tfh) cell","PD1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","T helper(Th) cell","PLAC8","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Lymphatic endothelial cell","Podoplanin","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymphatic endothelial cell","Podoplanin","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Normal cell","CD8+ T cell","PRF1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Cancer cell","Lymphocyte","PRF1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Normal cell","T cell","PRF1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymphatic endothelial cell","PROX1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph node","Normal cell","Lymph node cell","RB","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","RFX7","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","RHOA","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","B cell","SMARCA4","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","T cell","TAL1","Experiment","1","DETAIL"
"Human","Lymph node","Lymph","Cancer cell","T cell","TAL2","Experiment","1","DETAIL"
"Human","Lymph node","Lymphoid tissue","Cancer cell","T helper 1(Th1) cell","TBX21","Experiment","1","DETAIL"
