,0
0,0.842265570503289
1,0.8891271207091281
2,0.897154886436564
3,0.8842508566289072
4,0.9119254034001151
5,0.840235846160518
6,0.890231301724148
7,0.9012565496535806
8,0.9154967481779943
9,0.9104541082815137
