,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM
0,0.9095744680851064,0.8859649122807017,0.9523809523809523,0.9264705882352942,0.8794326241134751
1,0.9158878504672897,0.9112903225806452,1.0,0.9310344827586208,0.9308755760368664
2,0.9186046511627906,0.9113924050632911,0.5,0.9642857142857143,0.9248554913294796
3,0.9030303030303031,0.8826291079812207,0.7499999999999999,0.9415807560137457,0.9222222222222222
4,0.931372549019608,0.8979591836734694,0.923076923076923,0.955223880597015,0.9411764705882353
5,0.9396325459317585,0.9139784946236559,1.0,0.9538461538461539,0.9447236180904524
6,0.9009009009009009,0.8924731182795699,0.9473684210526316,0.9320388349514563,0.8900523560209425
7,0.9011627906976746,0.8934010152284264,0.8235294117647058,0.9568106312292358,0.9385474860335196
8,0.9120879120879121,0.9014084507042254,1.0,0.9591836734693876,0.9271523178807947
9,0.9322916666666666,0.9158878504672897,1.0,0.9516728624535316,0.9403973509933774
10,0.8827160493827161,0.8831168831168832,0.8750000000000001,0.9466666666666667,0.9461077844311376
11,0.9025069637883008,0.8681318681318682,0.923076923076923,0.935251798561151,0.9417475728155339
12,0.9407894736842105,0.9183673469387755,0.9333333333333333,0.9657534246575342,0.9523809523809523
13,0.9205479452054794,0.8666666666666666,1.0,0.9698996655518396,0.9550561797752809
14,0.9415041782729804,0.8995215311004785,0.9411764705882353,0.9802371541501977,0.96
15,0.9201101928374656,0.9045226130653266,0.9090909090909091,0.9424460431654677,0.9411764705882354
16,0.9159891598915989,0.8877551020408163,0.9090909090909091,0.9591836734693877,0.9523809523809523
17,0.9013333333333334,0.8526315789473684,1.0,0.9419795221843003,0.927710843373494
18,0.9367816091954023,0.905982905982906,1.0,0.9823321554770318,0.9202453987730062
19,0.903225806451613,0.8921568627450981,1.0,0.9534050179211468,0.9489795918367347
20,0.9313432835820895,0.8994708994708994,0.8235294117647058,0.9514563106796117,0.8936170212765957
