,B intermediate,B naive,NK
543,0.0625,0.0546875,0.0390625
544,0.0859375,0.0703125,0.0390625
545,0.0703125,0.0625,0.0
546,0.09375,0.0703125,0.03125
547,0.0703125,0.0625,0.0078125
548,0.0703125,0.0390625,0.015625
549,0.109375,0.1015625,0.0390625
550,0.1015625,0.0859375,0.0546875
551,0.09375,0.0859375,0.03125
552,0.078125,0.078125,0.0234375
553,0.1171875,0.1015625,0.03125
554,0.0703125,0.0625,0.015625
555,0.0703125,0.0703125,0.0390625
556,0.078125,0.0703125,0.0234375
557,0.0703125,0.0625,0.015625
558,0.078125,0.0625,0.03125
559,0.0546875,0.0390625,0.015625
560,0.109375,0.0859375,0.046875
561,0.09375,0.0625,0.03125
562,0.0546875,0.0390625,0.0390625
563,0.09375,0.0859375,0.046875
564,0.0390625,0.0234375,0.0234375
565,0.125,0.109375,0.0625
566,0.0390625,0.0390625,0.015625
567,0.0859375,0.078125,0.0
568,0.09375,0.0859375,0.0234375
569,0.1328125,0.125,0.0390625
570,0.1015625,0.0859375,0.0234375
571,0.09375,0.0703125,0.03125
572,0.09375,0.09375,0.015625
573,0.078125,0.0703125,0.0390625
574,0.15625,0.1171875,0.0078125
575,0.125,0.1171875,0.015625
576,0.0859375,0.0859375,0.0625
577,0.0625,0.0546875,0.0078125
578,0.0703125,0.0625,0.03125
579,0.09375,0.078125,0.0390625
580,0.078125,0.0546875,0.0390625
581,0.078125,0.0625,0.0546875
582,0.0546875,0.0546875,0.0
583,0.09375,0.0859375,0.03125
584,0.15625,0.125,0.03125
585,0.0546875,0.046875,0.015625
586,0.0703125,0.0625,0.03125
587,0.1171875,0.0859375,0.0625
588,0.0703125,0.0625,0.0234375
589,0.09375,0.0859375,0.0078125
590,0.078125,0.0390625,0.03125
591,0.078125,0.0625,0.0234375
592,0.078125,0.0546875,0.0546875
593,0.09375,0.0859375,0.0390625
594,0.0625,0.0390625,0.03125
595,0.078125,0.0703125,0.0234375
596,0.0625,0.046875,0.015625
597,0.046875,0.0390625,0.0625
598,0.109375,0.078125,0.0234375
599,0.0859375,0.0703125,0.03125
600,0.1171875,0.1015625,0.03125
601,0.109375,0.09375,0.0
602,0.09375,0.0703125,0.0078125
603,0.1640625,0.1171875,0.0
604,0.125,0.09375,0.03125
605,0.09375,0.078125,0.0234375
606,0.078125,0.0703125,0.0234375
607,0.1015625,0.0859375,0.0234375
608,0.0703125,0.046875,0.046875
609,0.0859375,0.0703125,0.0
610,0.0625,0.046875,0.03125
611,0.078125,0.0625,0.0
612,0.1015625,0.078125,0.015625
613,0.1328125,0.0859375,0.015625
614,0.0625,0.0390625,0.015625
615,0.0859375,0.078125,0.015625
616,0.0859375,0.0703125,0.0234375
617,0.0859375,0.0625,0.0078125
618,0.09375,0.0859375,0.0
619,0.0859375,0.0625,0.0390625
620,0.1171875,0.1171875,0.046875
621,0.09375,0.0859375,0.03125
622,0.1171875,0.109375,0.0078125
623,0.0546875,0.046875,0.03125
624,0.0703125,0.0703125,0.015625
625,0.078125,0.0703125,0.015625
626,0.0625,0.0546875,0.0078125
627,0.0703125,0.0546875,0.0234375
628,0.078125,0.0703125,0.0390625
629,0.0859375,0.0625,0.015625
630,0.0625,0.0625,0.0234375
631,0.0859375,0.078125,0.0546875
632,0.046875,0.03125,0.0078125
633,0.078125,0.0625,0.0078125
634,0.0390625,0.03125,0.0078125
635,0.109375,0.078125,0.0390625
636,0.0859375,0.0703125,0.03125
637,0.046875,0.0390625,0.0234375
638,0.078125,0.0703125,0.03125
639,0.078125,0.0625,0.015625
640,0.09375,0.0859375,0.0234375
641,0.078125,0.0703125,0.0390625
642,0.09375,0.0859375,0.0390625
643,0.09375,0.078125,0.0234375
644,0.046875,0.046875,0.015625
645,0.125,0.109375,0.015625
646,0.078125,0.0703125,0.03125
647,0.0859375,0.0703125,0.0390625
648,0.0703125,0.0625,0.0390625
649,0.09375,0.078125,0.0234375
650,0.1015625,0.078125,0.0390625
651,0.0859375,0.0390625,0.0234375
652,0.1171875,0.109375,0.0234375
653,0.078125,0.046875,0.015625
654,0.0859375,0.0546875,0.015625
655,0.0625,0.046875,0.0078125
656,0.109375,0.09375,0.046875
657,0.0546875,0.046875,0.0390625
658,0.109375,0.09375,0.015625
659,0.1015625,0.0703125,0.03125
660,0.0703125,0.0703125,0.015625
661,0.0546875,0.0546875,0.03125
662,0.0703125,0.0546875,0.015625
663,0.0546875,0.0546875,0.015625
664,0.0859375,0.078125,0.03125
665,0.09375,0.078125,0.0234375
666,0.09375,0.078125,0.0625
667,0.078125,0.0625,0.015625
668,0.1328125,0.109375,0.0625
669,0.0546875,0.046875,0.015625
670,0.078125,0.0625,0.015625
671,0.0703125,0.0546875,0.03125
672,0.09375,0.078125,0.0234375
673,0.09375,0.078125,0.015625
674,0.0859375,0.078125,0.03125
675,0.078125,0.0703125,0.015625
676,0.1328125,0.109375,0.0390625
677,0.109375,0.109375,0.0625
678,0.1015625,0.0859375,0.0390625
679,0.0625,0.046875,0.015625
680,0.125,0.09375,0.0703125
681,0.0625,0.046875,0.0234375
682,0.078125,0.0625,0.03125
683,0.1015625,0.09375,0.03125
684,0.1484375,0.1328125,0.0390625
685,0.1171875,0.1015625,0.03125
686,0.09375,0.0859375,0.0234375
687,0.1484375,0.109375,0.015625
688,0.1015625,0.0703125,0.0
689,0.1171875,0.09375,0.015625
690,0.0859375,0.046875,0.03125
691,0.0625,0.0546875,0.0078125
692,0.0625,0.0546875,0.03125
693,0.078125,0.0546875,0.015625
694,0.09375,0.078125,0.0234375
695,0.09375,0.0703125,0.03125
696,0.1171875,0.109375,0.03125
697,0.1328125,0.109375,0.03125
698,0.078125,0.0703125,0.015625
699,0.171875,0.1484375,0.03125
700,0.09375,0.0859375,0.0390625
701,0.09375,0.078125,0.0390625
702,0.125,0.109375,0.046875
703,0.078125,0.046875,0.0078125
704,0.109375,0.0859375,0.015625
705,0.109375,0.09375,0.0390625
706,0.1015625,0.0859375,0.0234375
707,0.1015625,0.078125,0.0234375
708,0.1015625,0.0546875,0.0390625
709,0.109375,0.09375,0.0
710,0.0859375,0.078125,0.0234375
711,0.0859375,0.0703125,0.0546875
712,0.0625,0.0546875,0.0390625
713,0.0625,0.0546875,0.0
714,0.1015625,0.09375,0.03125
715,0.0859375,0.0703125,0.03125
716,0.1171875,0.09375,0.03125
717,0.09375,0.0546875,0.015625
718,0.1328125,0.125,0.0390625
719,0.0859375,0.078125,0.0390625
720,0.109375,0.0859375,0.0078125
721,0.15625,0.125,0.046875
722,0.0859375,0.0703125,0.03125
723,0.0703125,0.0703125,0.03125
724,0.0859375,0.0703125,0.015625
725,0.078125,0.046875,0.03125
726,0.0703125,0.0625,0.0234375
727,0.1171875,0.1015625,0.015625
728,0.125,0.109375,0.03125
729,0.0625,0.046875,0.0234375
730,0.140625,0.109375,0.0234375
731,0.0859375,0.0703125,0.0234375
732,0.078125,0.0546875,0.0234375
733,0.1484375,0.109375,0.015625
734,0.0546875,0.046875,0.015625
735,0.0859375,0.0546875,0.015625
736,0.0859375,0.0703125,0.046875
737,0.1015625,0.0625,0.0
738,0.109375,0.0859375,0.0078125
739,0.1171875,0.109375,0.0625
740,0.0703125,0.0625,0.03125
741,0.1015625,0.0625,0.0234375
742,0.0859375,0.0703125,0.0
743,0.15625,0.125,0.046875
744,0.109375,0.0703125,0.0078125
745,0.09375,0.09375,0.0234375
746,0.09375,0.078125,0.03125
747,0.1640625,0.140625,0.046875
748,0.078125,0.0703125,0.03125
749,0.09375,0.078125,0.0234375
750,0.109375,0.109375,0.0234375
751,0.078125,0.0703125,0.0234375
752,0.0625,0.0546875,0.015625
753,0.09375,0.0703125,0.0078125
