,B intermediate,B naive,NK
407,0.125,0.1171875,0.0234375
408,0.109375,0.1015625,0.0078125
409,0.1015625,0.09375,0.0078125
410,0.109375,0.109375,0.0
411,0.078125,0.078125,0.015625
412,0.109375,0.109375,0.0078125
413,0.125,0.125,0.0078125
414,0.1171875,0.1171875,0.0078125
415,0.0859375,0.0859375,0.0078125
416,0.109375,0.1015625,0.015625
417,0.0859375,0.078125,0.0078125
418,0.09375,0.0859375,0.0078125
419,0.1015625,0.1015625,0.0078125
420,0.109375,0.09375,0.0234375
421,0.09375,0.09375,0.0
422,0.0625,0.0625,0.0
423,0.109375,0.09375,0.0234375
424,0.109375,0.109375,0.0078125
425,0.0859375,0.078125,0.0078125
426,0.1640625,0.1484375,0.0234375
427,0.0859375,0.0859375,0.0
428,0.078125,0.078125,0.0
429,0.0625,0.0625,0.0
430,0.0859375,0.0859375,0.0078125
431,0.0625,0.0625,0.0
432,0.09375,0.078125,0.015625
433,0.125,0.1171875,0.015625
434,0.0703125,0.0703125,0.0
435,0.0703125,0.0625,0.015625
436,0.078125,0.078125,0.0
437,0.0859375,0.078125,0.0078125
438,0.1328125,0.1328125,0.0
439,0.125,0.125,0.0
440,0.1015625,0.1015625,0.0
441,0.09375,0.09375,0.0078125
442,0.09375,0.09375,0.0078125
443,0.0703125,0.0703125,0.0
444,0.1328125,0.1328125,0.015625
445,0.1328125,0.125,0.015625
446,0.09375,0.09375,0.0078125
447,0.1171875,0.109375,0.015625
448,0.0703125,0.0703125,0.0
449,0.0859375,0.078125,0.0078125
450,0.1015625,0.1015625,0.0
451,0.0703125,0.0703125,0.015625
452,0.09375,0.09375,0.0
453,0.09375,0.078125,0.015625
454,0.0703125,0.0703125,0.0
455,0.171875,0.1484375,0.0234375
456,0.109375,0.1015625,0.0078125
457,0.1015625,0.078125,0.0234375
458,0.09375,0.09375,0.0
459,0.09375,0.09375,0.0
460,0.0859375,0.0859375,0.0078125
461,0.078125,0.078125,0.0
462,0.0703125,0.0703125,0.0
463,0.0703125,0.0703125,0.0
464,0.0859375,0.078125,0.0078125
465,0.078125,0.0703125,0.0078125
466,0.078125,0.0703125,0.0078125
467,0.125,0.1171875,0.0078125
468,0.15625,0.1484375,0.0078125
469,0.1015625,0.1015625,0.0
470,0.0546875,0.0546875,0.0
471,0.0625,0.0546875,0.0078125
472,0.046875,0.046875,0.0
473,0.09375,0.0703125,0.0390625
474,0.0859375,0.0859375,0.0
475,0.109375,0.109375,0.0
476,0.1015625,0.09375,0.0078125
477,0.1484375,0.1484375,0.0
478,0.09375,0.0859375,0.0078125
479,0.1015625,0.1015625,0.0078125
480,0.0703125,0.0703125,0.0078125
481,0.1171875,0.1171875,0.0
482,0.078125,0.078125,0.0
483,0.109375,0.109375,0.0
484,0.109375,0.09375,0.015625
485,0.0625,0.0625,0.0078125
486,0.0703125,0.0625,0.015625
487,0.1171875,0.109375,0.0078125
488,0.078125,0.078125,0.0
489,0.1015625,0.1015625,0.0
490,0.1328125,0.109375,0.0390625
491,0.1015625,0.1015625,0.0078125
492,0.0546875,0.0546875,0.0
493,0.109375,0.109375,0.0078125
494,0.078125,0.078125,0.0
495,0.0703125,0.0625,0.0078125
496,0.109375,0.109375,0.0
497,0.140625,0.1328125,0.015625
498,0.140625,0.140625,0.0078125
499,0.078125,0.078125,0.0078125
500,0.0625,0.0625,0.0
501,0.09375,0.09375,0.0
502,0.0546875,0.0546875,0.0
503,0.09375,0.0859375,0.015625
504,0.1015625,0.1015625,0.0
505,0.0703125,0.0703125,0.0
506,0.109375,0.109375,0.0078125
507,0.0859375,0.0859375,0.0
508,0.1171875,0.109375,0.0078125
509,0.078125,0.078125,0.0
510,0.1171875,0.1171875,0.0078125
511,0.0859375,0.078125,0.0078125
512,0.0546875,0.0546875,0.0
513,0.109375,0.1015625,0.0078125
514,0.1171875,0.109375,0.0078125
515,0.140625,0.125,0.0234375
516,0.1015625,0.1015625,0.0
517,0.1328125,0.1328125,0.0078125
518,0.0859375,0.0859375,0.0
519,0.109375,0.109375,0.0078125
520,0.078125,0.078125,0.0
