DataSet,Silhouette Score
RNA Train,0.2157788872718811
RNA Train,0.22070719301700592
RNA Train,0.22797517478466034
RNA Train,0.20588159561157227
RNA Train,0.22066006064414978
RNA Train,0.21696437895298004
RNA Train,0.20548105239868164
RNA Train,0.20491749048233032
RNA Train,0.21445907652378082
RNA Train,0.21514922380447388
RNA Test,0.2442128551168653
RNA Test,0.23759401497625754
RNA Test,0.2426048247908724
RNA Test,0.24306065196371826
RNA Test,0.237480648730146
RNA Test,0.24654818741621068
RNA Test,0.23419727629217296
RNA Test,0.24252635579136608
RNA Test,0.2530434918440214
RNA Test,0.2398023854868569
COMB Train,0.22429832816123962
COMB Train,0.25737422704696655
COMB Train,0.24384835362434387
COMB Train,0.22043536603450775
COMB Train,0.23004582524299622
COMB Train,0.22551138699054718
COMB Train,0.22526288032531738
COMB Train,0.21710576117038727
COMB Train,0.22928573191165924
COMB Train,0.23202864825725555
COMB Test,0.260002166803408
COMB Test,0.2540954659863056
COMB Test,0.25220986205110013
COMB Test,0.2616782735239233
COMB Test,0.25360775116308637
COMB Test,0.2628314481201677
COMB Test,0.25293346982962034
COMB Test,0.25901213827187175
COMB Test,0.26656493713196494
COMB Test,0.2621736725547005
