,B intermediate,B naive,CD14 Mono,CD16 Mono,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM,NK,cDC2,pDC
0,0.9276139410187667,0.8841201716738198,0.8633171258779038,0.9309309309309309,0.8985282726568551,0.85678391959799,0.945054945054945,0.955868544600939,0.9598765432098764,0.9514563106796117,0.3936507936507937,0.9836065573770492
1,0.8615384615384616,0.7486631016042781,0.9307652264445602,0.8857938718662952,0.9392655367231638,0.8859223300970873,0.972972972972973,0.971689497716895,0.9502923976608187,0.9573770491803278,0.7152317880794702,1.0
2,0.8206521739130435,0.7487179487179486,0.8760151597184624,0.8712328767123286,0.9316493313521544,0.8666666666666666,0.9393939393939393,0.9691470054446462,0.9501557632398754,0.935064935064935,0.4734693877551021,0.967741935483871
3,0.9262536873156343,0.9066666666666666,0.8926673751328374,0.9326424870466321,0.9322033898305084,0.8818061088977422,0.9302325581395349,0.9815712900096993,0.9605839416058394,0.9333333333333333,0.5309090909090909,1.0
4,0.9515151515151515,0.9322709163346614,0.8926315789473684,0.8648648648648649,0.9031339031339032,0.8375634517766497,0.9589041095890412,0.9833496571988246,0.9537166900420757,0.9305135951661632,0.532258064516129,0.9824561403508771
5,0.9430379746835443,0.9289617486338798,0.8958990536277602,0.8900255754475703,0.9333333333333333,0.8770595690747782,0.988235294117647,0.9736842105263157,0.9502407704654896,0.9208211143695015,0.5638766519823788,0.9841269841269841
6,0.845303867403315,0.7777777777777779,0.9294057897409852,0.8984615384615385,0.9561643835616437,0.8990318118948825,0.8955223880597014,0.9747081712062257,0.9542302357836339,0.9456869009584665,0.6881720430107526,1.0
7,0.8672086720867208,0.8097560975609757,0.899837574445046,0.8595505617977527,0.9218407596785976,0.8539603960396039,0.9545454545454545,0.9735772357723578,0.9519519519519519,0.9504950495049505,0.5643564356435643,0.9887640449438202
8,0.8675324675324675,0.7380952380952381,0.9272540983606556,0.9213483146067416,0.9535382416011436,0.9093369418132612,1.0,0.9804287045666357,0.955453149001536,0.9545454545454545,0.5759162303664922,1.0
9,0.9556962025316457,0.93,0.8981481481481481,0.9195402298850575,0.9395348837209303,0.8961892247043364,0.9767441860465116,0.9721669980119283,0.9500000000000001,0.967741935483871,0.4675324675324675,1.0
