,CD14+ Monocytes,CD4+ Central Memory T,CD4+ Naive T,CD8+ Effector Memory T,CD8+ Naive T,Dendritic Cells,NK cell,pDC
0,0.01322537112010802,0.012955465587044523,0.01673414304993248,0.011336032388663986,0.016464237516869096,0.005668016194331993,0.0035087719298245723,0.00026990553306349696
1,0.018390191897654673,0.040245202558635396,0.03331556503198296,0.022654584221748486,0.03304904051172708,0.013859275053304865,0.011993603411513787,0.0
2,0.01868659903897485,0.05659369994660968,0.05419113721302726,0.025894287239722313,0.043246129204484784,0.014415376401494928,0.002936465563267432,0.00026695141484245344
3,0.026727861771058348,0.07613390928725705,0.06344492440604754,0.039416846652267856,0.06641468682505403,0.023488120950323932,0.008639308855291516,0.0002699784017278217
4,0.03217955651703619,0.04164413196322336,0.04597079502433743,0.02028123309897234,0.047052460789616,0.02568956192536498,0.0024337479718766764,0.0
5,0.030164287638028586,0.05548074333423103,0.05144088338270936,0.03716671155399953,0.05251817936978187,0.026393751683274957,0.009964987880420217,0.00026932399676804497
6,0.023687752355316283,0.03149394347240908,0.030955585464333746,0.022072678331090168,0.023149394347240837,0.016958277254374154,0.002960969044414563,0.0
7,0.02850228556063461,0.039795643990319984,0.037913417585372367,0.02151115891368649,0.03603119118042486,0.023662274805055228,0.0029577843506318757,0.001075557945684369
8,0.028609625668449157,0.07486631016042777,0.054010695187165725,0.03155080213903738,0.05962566844919781,0.022727272727272818,0.016844919786096257,0.0034759358288770636
9,0.0224839400428265,0.05246252676659535,0.05540685224839392,0.03024625267665959,0.05326552462526768,0.016862955032119875,0.007226980728051391,0.0005353319057815886
