,B intermediate,B naive,CD14 Mono,CD16 Mono,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM,NK,cDC2,pDC
0,0.9190751445086706,0.9212598425196851,0.9866920152091255,0.8903225806451613,0.9172610556348074,0.8163841807909604,0.7209302325581395,0.9396887159533074,0.8823529411764706,0.8918918918918919,0.8709677419354839,0.967741935483871
1,0.9047619047619048,0.8434782608695652,0.9707317073170731,0.9130434782608695,0.9338731443994602,0.7931034482758621,0.918918918918919,0.9534450651769087,0.844574780058651,0.9047619047619048,0.8888888888888888,0.9333333333333333
2,0.9536423841059603,0.8983050847457628,0.9691417550626809,0.9,0.9382183908045977,0.7940298507462686,0.6774193548387096,0.912962962962963,0.8757575757575757,0.8827586206896552,0.896551724137931,0.875
3,0.8726114649681529,0.9152542372881356,0.9807507218479307,0.8688524590163934,0.9188790560471977,0.8247126436781609,0.7857142857142857,0.9313725490196079,0.827485380116959,0.9142857142857143,0.8493150684931506,0.967741935483871
4,0.8853503184713376,0.8692307692307693,0.9809342230695901,0.9141104294478528,0.9017264276228419,0.8242074927953891,0.8055555555555556,0.9324055666003976,0.8567415730337079,0.9419354838709677,0.8181818181818182,0.9285714285714286
5,0.8926174496644296,0.9081632653061225,0.9809523809523809,0.896551724137931,0.9333333333333333,0.8011363636363636,0.7619047619047619,0.9520153550863724,0.8235294117647058,0.8598726114649682,0.9230769230769231,0.967741935483871
6,0.8954248366013072,0.8559322033898306,0.9886039886039886,0.8707482993197279,0.921832884097035,0.8459302325581395,0.8,0.9467455621301775,0.8292682926829268,0.8791946308724832,0.734375,0.9230769230769231
7,0.9,0.8842975206611571,0.9832677165354331,0.9084967320261438,0.9368131868131868,0.8470254957507082,0.7391304347826086,0.9398340248962656,0.8436578171091446,0.9027777777777778,0.8947368421052632,0.9090909090909091
8,0.9401197604790419,0.9238095238095239,0.9894937917860553,0.8597560975609756,0.923943661971831,0.8638888888888889,0.7837837837837838,0.9431818181818182,0.8658536585365854,0.8707482993197279,0.9090909090909091,0.9696969696969697
9,0.8947368421052632,0.8846153846153846,0.9841121495327103,0.906832298136646,0.9280359820089955,0.8253521126760563,0.6976744186046512,0.9183673469387755,0.8526645768025078,0.8741721854304636,0.7777777777777778,0.9411764705882353
