,CD14+ Monocytes,CD4+ Central Memory T,CD4+ Naive T,CD8+ Effector Memory T,CD8+ Naive T,Dendritic Cells,NK cell,pDC
0,0.954172696575012,0.8019169329073482,0.8994413407821229,0.8868660598179453,0.9266480965645311,0.9104618284637136,0.9559322033898304,0.9870129870129869
1,0.9587090650213574,0.7828947368421052,0.9138418079096046,0.8688118811881188,0.9491211840888065,0.9151572926596758,0.9512893982808023,0.9767441860465116
2,0.963627775153519,0.7948717948717948,0.8638783269961977,0.8783610755441742,0.9211908931698773,0.9212598425196851,0.9698795180722892,0.9195402298850576
3,0.9528392685274303,0.7690100430416069,0.7734187349879904,0.8856088560885609,0.8626144879267279,0.9018464528668609,0.937007874015748,0.896551724137931
4,0.9636898920510304,0.8098918083462133,0.8842419716206124,0.8866749688667497,0.9226618705035972,0.9385474860335196,0.9466666666666667,0.9397590361445783
5,0.9733266230498239,0.7958883994126285,0.8815697266993693,0.865482233502538,0.9162011173184357,0.9474689589302769,0.948948948948949,0.9662921348314608
6,0.9650413983440663,0.7328671328671329,0.8333333333333334,0.868632707774799,0.9176915799432355,0.9337121212121212,0.9668874172185431,0.9375
7,0.9455750118315192,0.7636887608069164,0.897845726198749,0.8691358024691359,0.9454545454545454,0.8918918918918919,0.9384615384615385,0.9791666666666666
8,0.9517374517374517,0.7817109144542773,0.9198931909212283,0.8647959183673469,0.9577735124760077,0.9092682926829267,0.9645390070921985,0.9494949494949495
9,0.9515892420537896,0.7885402455661665,0.8760932944606414,0.8586525759577279,0.9388839681133747,0.903828197945845,0.9130434782608695,0.9213483146067415
