,CD14+ Monocytes,CD4+ Central Memory T,CD4+ Naive T,CD8+ Effector Memory T,CD8+ Naive T,Dendritic Cells,NK cell,pDC
0,0.38299595141700404,0.23859649122807025,0.2898785425101216,0.29257759784075577,0.2585695006747638,0.34763832658569493,0.07098515519568149,0.07611336032388671
1,0.4123134328358209,0.27158848614072495,0.3200959488272921,0.2681236673773987,0.31023454157782515,0.3374200426439232,0.07782515991471206,0.06956289978678043
2,0.394554191137213,0.26668446342765606,0.29231179925253603,0.28910838227442615,0.27362520021356107,0.31954084356647094,0.06300053390282967,0.07314468766684468
3,0.4592332613390929,0.2508099352051836,0.29130669546436283,0.32208423326133906,0.31749460043196553,0.3264038876889849,0.07208423326133906,0.18250539956803458
4,0.4259058950784208,0.26717144402379656,0.2939426717144402,0.27014602487831263,0.29042725797728497,0.32774472687939427,0.08409951325040566,0.06679286100594906
5,0.3902504713169943,0.23673579315917048,0.3019122003770536,0.32211150013466194,0.30541341233503905,0.26986264476164834,0.06140587126312946,0.08806894694317258
6,0.5020188425302825,0.2928667563930014,0.26998654104979813,0.2931359353970391,0.3130551816958277,0.44495289367429336,0.09179004037685068,0.09448183041722757
7,0.37160527023393386,0.2721161602581339,0.3237429416509814,0.2984673299273999,0.26646948104329116,0.295778435063189,0.061037913417585465,0.09653132562516797
8,0.3788770053475936,0.2625668449197861,0.3395721925133689,0.252139037433155,0.2665775401069519,0.29304812834224603,0.06256684491978604,0.12994652406417118
9,0.36616702355460384,0.28854389721627416,0.35037473233404715,0.31771948608137046,0.3166488222698073,0.3214668094218416,0.06316916488222701,0.1796038543897216
