,B intermediate,B naive,CD14 Mono,CD16 Mono,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM,NK,cDC2,pDC
0,0.031131564699512726,0.007579859231185759,0.028695181375202994,0.02084461288576067,0.049539794260963776,0.07309149972929074,0.0021656740660530582,0.0636166756903086,0.02382241472658364,0.006226312939902501,0.022739577693557167,0.0005414185165133478
1,0.957543391188251,0.8419225634178905,0.9660881174899867,0.0008010680907877266,0.9145527369826435,0.004806408544726248,0.0,0.024566088117489948,0.01842456608811749,0.013084112149532645,0.0,0.0
2,0.9614870286172773,0.016314522599625514,0.9708478202728,0.00026745119015780805,0.16100561647499334,0.006418828563787171,0.0,0.04118748328430066,0.016047071409467706,0.004011767852366899,0.0,0.0
3,0.9040910322405852,0.9279328095367109,0.9612571118937958,0.001083717149823804,0.9547548089948524,0.011108100785694908,0.0,0.02329991872121384,0.06285559468978597,0.007044161473855337,0.0,0.0
4,0.016273393002441017,0.0032546786004881145,0.0382424735557364,0.026851098454027666,0.060211554109031784,0.08652020612964473,0.00840791971792787,0.075128831027936,0.02766476810414964,0.004068348250610199,0.024952535937076248,0.0002712232167073614
5,0.9513381995133819,0.9345769126791026,0.9648553663152204,0.0005406866720734094,0.9505271695052717,0.005406866720735315,0.0,0.024871586915382493,0.053798323871316556,0.00459583671262509,0.0002703433360367047,0.0
6,0.005133747635774122,0.0035125641718454226,0.017022426371251065,0.009186706295595815,0.04404215077006213,0.057281815725479635,0.017833018103215248,0.051067279113753083,0.033774655498513884,0.014860848419346095,0.010807889759524514,0.00027019724398813505
7,0.951199784308439,0.009706120248045291,0.9671070369371799,0.0002696144513345544,0.958479374494473,0.008088433540037743,0.0,0.021838770558102016,0.012671879212725834,0.001887301159342214,0.0,0.0
8,0.9415236051502145,0.016630901287553734,0.9624463519313304,0.0010729613733905241,0.15075107296137336,0.005096566523605128,0.0,0.020654506437768227,0.9117489270386265,0.004023605150214604,0.0,0.0
9,0.031652360515021405,0.001877682403433445,0.011534334763948495,0.003755364806867001,0.0858369098712446,0.0979077253218884,0.008315450643776812,0.08556866952789699,0.04479613733905585,0.007510729613733891,0.004828326180257414,0.0002682403433477143
