,CD14+ Monocytes,CD4+ Central Memory T,CD4+ Naive T,CD8+ Effector Memory T,CD8+ Naive T,Dendritic Cells,NK cell,pDC
0,0.015114709851551944,0.05047233468286094,0.0464237516869096,0.019973009446693668,0.051821862348178205,0.009446693657219951,0.006747638326585648,0.0016194331983805377
1,0.022388059701492602,0.05810234541577819,0.05010660980810233,0.03731343283582089,0.050373134328358216,0.012526652452025555,0.011727078891258014,0.0031982942430703876
2,0.01868659903897485,0.07394554191137215,0.07634810464495456,0.06033101975440469,0.06300053390282978,0.011211959423384932,0.0032034169781099964,0.0008008542445275824
3,0.02456803455723544,0.05561555075593949,0.04211663066954652,0.02456803455723544,0.04535637149028082,0.015928725701943924,0.00782937365010794,0.0
4,0.03190914007571666,0.0843699296917253,0.05949161709031914,0.040832882639264434,0.07166035694970252,0.020010816657652808,0.010005408328826348,0.0021633315305570333
5,0.9606786964718557,0.005655803932130277,0.07568004309183951,0.021545919741448927,0.018044707783463565,0.9709130083490439,0.003231887961217317,0.000269323996768156
6,0.015612382234185707,0.06298788694481827,0.05598923283983859,0.03149394347240908,0.056258411843876255,0.010228802153432026,0.010767160161507472,0.0018842530282637826
7,0.031460069911266375,0.07824684054853448,0.05458456574347936,0.032804517343371864,0.0752890561979026,0.023124495832212877,0.0056466792148427425,0.0024200053777897468
8,0.03663101604278074,0.052673796791443794,0.04839572192513364,0.0425133689839573,0.035561497326203284,0.030213903743315562,0.005882352941176561,0.0034759358288770636
9,0.020877944325481845,0.08270877944325483,0.0819057815845824,0.04496788008565311,0.08003211991434689,0.014721627408993632,0.005888650963597475,0.0037473233404711204
