,B intermediate,B naive,CD14 Mono,CD16 Mono,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM,NK,cDC2,pDC
0,0.9578313253012049,0.9523809523809523,0.9873294346978557,0.9423076923076923,0.9385964912280702,0.8533333333333334,0.9318181818181818,0.9671179883945842,0.9335347432024169,0.9931972789115646,0.75,0.967741935483871
1,0.9515151515151515,0.9137931034482759,0.9869346733668342,0.8908045977011494,0.9572649572649573,0.8526570048309179,0.8974358974358975,0.9652014652014652,0.9294117647058824,0.9342105263157895,0.8,1.0
2,0.9731543624161074,0.9504132231404959,0.9909547738693467,0.8813559322033898,0.9332386363636364,0.8909090909090909,0.875,0.9686346863468634,0.9258160237388724,0.9403973509933775,0.8615384615384616,1.0
3,0.9931972789115646,0.928,0.9852652259332023,0.9072164948453608,0.9452887537993921,0.8567567567567568,0.8409090909090909,0.9670542635658915,0.9523809523809523,0.9444444444444444,0.8974358974358975,1.0
4,0.9666666666666667,0.9117647058823529,0.9854085603112841,0.8971428571428571,0.9392265193370166,0.8446866485013624,0.9411764705882353,0.9552529182879378,0.9466292134831461,0.9625,0.875,1.0
5,0.965034965034965,0.9292929292929293,0.9759846301633045,0.9137931034482759,0.9484679665738162,0.8901408450704226,0.8666666666666667,0.9641509433962264,0.93125,0.9743589743589743,0.8695652173913043,0.96875
6,0.9463087248322147,0.9090909090909091,0.9825750242013552,0.912751677852349,0.9549180327868853,0.8756906077348067,0.7647058823529411,0.9745098039215686,0.9313186813186813,0.9285714285714286,0.8676470588235294,1.0
7,0.9683544303797469,0.9745762711864406,0.9869346733668342,0.8757396449704142,0.9523809523809523,0.8975069252077562,0.8863636363636364,0.9494949494949495,0.9323529411764706,0.9727891156462585,0.9310344827586207,1.0
8,0.9817073170731707,0.9444444444444444,0.9844357976653697,0.9053254437869822,0.9469914040114613,0.8865435356200527,0.868421052631579,0.9699812382739212,0.9382716049382716,0.9862068965517241,0.8524590163934426,0.9705882352941176
9,0.9791666666666666,0.9428571428571428,0.9903567984570878,0.9117647058823529,0.9352409638554217,0.8879781420765027,0.9069767441860465,0.9658634538152611,0.9478827361563518,0.9263803680981595,0.7571428571428571,1.0
