,B intermediate,B naive,CD14 Mono,CD16 Mono,CD4 Naive,CD4 TCM,CD4 TEM,CD8 Naive,CD8 TEM,NK,cDC2,pDC
0,0.7761194029850746,0.8868778280542987,0.9540396710208031,0.8579881656804733,0.5801253357206804,0.6435185185185186,0.8985507246376812,0.7097301717089125,0.8120567375886526,0.9034267912772586,0.8055555555555555,0.9310344827586207
1,0.07453416149068323,0.140625,0.4677030873658857,0.03508771929824561,0.33757225433526017,0.04046242774566475,0.0,0.07142857142857142,0.10187667560321716,0.10869565217391304,0.0,0.0
2,0.09523809523809525,0.1652892561983471,0.463254593175853,0.024390243902439022,0.2870928829915561,0.021798365122615803,0.0,0.07625649913344887,0.06162464985994398,0.11299435028248588,0.0,0.0
3,0.046242774566473986,0.16,0.4719353390211047,0.03870967741935484,0.40760295670538543,0.042296072507552865,0.0,0.06159420289855072,0.11488250652741515,0.13043478260869565,0.0,0.0
4,0.8489583333333334,0.9173553719008265,0.942366026289181,0.8250652741514362,0.8103579588728104,0.5526315789473685,0.7741935483870966,0.7198275862068965,0.8238993710691823,0.9427609427609427,0.8053691275167785,0.983050847457627
5,0.14457831325301207,0.18181818181818182,0.4568828213879408,0.02247191011235955,0.3961661341853035,0.026809651474530828,0.0,0.09107468123861566,0.09116809116809116,0.14054054054054055,0.02857142857142857,0.0
6,0.9418282548476454,0.9130434782608696,0.9653558052434457,0.9204545454545454,0.6906222611744085,0.6070038910505837,0.6031746031746031,0.6839481555333998,0.7395626242544732,0.9192546583850931,0.7999999999999999,0.9846153846153847
7,0.12571428571428572,0.16129032258064516,0.47417738069296145,0.0,0.2884160756501182,0.020671834625323,0.0,0.07003891050583658,0.07671232876712329,0.058394160583941604,0.0,0.0
8,0.06741573033707865,0.20634920634920634,0.4668423364075538,0.05298013245033112,0.3044444444444444,0.026954177897574125,0.0,0.0948905109489051,0.09972299168975068,0.09655172413793105,0.0,0.0
9,0.751918158567775,0.9618320610687022,0.9615745079662606,0.8158844765342962,0.6418755052546483,0.6445497630331752,0.65625,0.7847730600292825,0.8508474576271186,0.9281045751633987,0.8503937007874015,0.9855072463768115
